2022-08-11 09:08:485 INFO  DemoAccountPage :75 - Click on check button : [[ChromeDriver: chrome on WINDOWS (c368b7428acfdcaad2125929901d9b15)] -> xpath: //body/div[1]/div[2]/div[1]/main[1]/article[1]/div[2]/div[1]/section[1]/section[1]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[3]/div[1]/div[1]/div[1]/label[1]]
2022-08-11 09:08:667 INFO  DemoAccountPage :80 - Click on check button1 : [[ChromeDriver: chrome on WINDOWS (c368b7428acfdcaad2125929901d9b15)] -> xpath: //body/div[1]/div[2]/div[1]/main[1]/article[1]/div[2]/div[1]/section[1]/section[1]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[4]/div[1]/div[1]/div[1]/label[1]]
2022-08-11 09:08:820 INFO  DemoAccountPage :85 - Click on create account button : [[ChromeDriver: chrome on WINDOWS (c368b7428acfdcaad2125929901d9b15)] -> id: avaWidgetSubmit]
2022-08-11 09:08:245 INFO  TradePage :49 - Click on skip tutorial popup : [[ChromeDriver: chrome on WINDOWS (c368b7428acfdcaad2125929901d9b15)] -> xpath: //span[contains(text(),'Skip Tutorial')]]
2022-08-11 09:08:858 INFO  TradePage :55 - Click on close button: [[ChromeDriver: chrome on WINDOWS (c368b7428acfdcaad2125929901d9b15)] -> xpath: //button[normalize-space()='Close']]
2022-08-11 09:08:513 INFO  TradePage :61 - Click on crypto currency: [[ChromeDriver: chrome on WINDOWS (c368b7428acfdcaad2125929901d9b15)] -> xpath: //div[contains(text(),'Crypto')]]
2022-08-11 09:08:831 INFO  TradePage :67 - Click on BCHUSD star icon: [[ChromeDriver: chrome on WINDOWS (c368b7428acfdcaad2125929901d9b15)] -> xpath: (//div[@class='watchlist-entity.component_favCell__1pYE6']//i//i)[1]]
2022-08-11 09:08:936 INFO  TradePage :69 - Click on BTCEUR star icon: [[ChromeDriver: chrome on WINDOWS (c368b7428acfdcaad2125929901d9b15)] -> xpath: (//div[@class='watchlist-entity.component_favCell__1pYE6']//i//i)[2]]
2022-08-11 09:08:40 INFO  TradePage :71 - Click on bTCJPY star icon: [[ChromeDriver: chrome on WINDOWS (c368b7428acfdcaad2125929901d9b15)] -> xpath: (//div[@class='watchlist-entity.component_favCell__1pYE6']//i//i)[3]]
2022-08-11 09:08:149 INFO  TradePage :75 - Click on favorites button [[ChromeDriver: chrome on WINDOWS (c368b7428acfdcaad2125929901d9b15)] -> xpath: //div[contains(text(),'Favorites')]]
2022-08-11 09:08:549 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-11 09:08:506 INFO  DemoAccountPage :57 - Enter first name: [[ChromeDriver: chrome on WINDOWS (e1bdf899328571f2fd8c6234f6910be5)] -> id: name]
2022-08-11 09:08:692 INFO  DemoAccountPage :61 - Enter last name: [[ChromeDriver: chrome on WINDOWS (e1bdf899328571f2fd8c6234f6910be5)] -> id: name]
2022-08-11 09:08:101 INFO  DemoAccountPage :65 - Enter email id: [[ChromeDriver: chrome on WINDOWS (e1bdf899328571f2fd8c6234f6910be5)] -> id: email]
2022-08-11 09:08:331 INFO  DemoAccountPage :69 - Enter phone number: [[ChromeDriver: chrome on WINDOWS (e1bdf899328571f2fd8c6234f6910be5)] -> id: email]
2022-08-11 09:08:647 INFO  DemoAccountPage :75 - Click on check button : [[ChromeDriver: chrome on WINDOWS (e1bdf899328571f2fd8c6234f6910be5)] -> xpath: //body/div[1]/div[2]/div[1]/main[1]/article[1]/div[2]/div[1]/section[1]/section[1]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[3]/div[1]/div[1]/div[1]/label[1]]
2022-08-11 09:08:984 INFO  DemoAccountPage :80 - Click on check button1 : [[ChromeDriver: chrome on WINDOWS (e1bdf899328571f2fd8c6234f6910be5)] -> xpath: //body/div[1]/div[2]/div[1]/main[1]/article[1]/div[2]/div[1]/section[1]/section[1]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[4]/div[1]/div[1]/div[1]/label[1]]
2022-08-11 09:08:137 INFO  DemoAccountPage :85 - Click on create account button : [[ChromeDriver: chrome on WINDOWS (e1bdf899328571f2fd8c6234f6910be5)] -> id: avaWidgetSubmit]
